r,chord,beta_deg
0.21,0.09,0.0
0.21410621999999999,0.09,0.0
0.22639182,0.09,0.0
0.24675787999999999,0.09,0.0
0.27504043,0.09,0.0
0.31101175,0.09299618,0.37992442
0.35438223,0.14027246,5.49645535
0.40480267000000003,0.20193942,12.2387095
0.4618671,0.23981563,16.37600806
0.5251161,0.23371378,15.58177649
0.5940404,0.22129531,13.96448932
0.66808508,0.20798293,12.22842462
0.74665396,0.19719469,10.78287124
0.8291144699999999,0.18638229,9.32667763
0.9148026699999999,0.17640394,8.12780717
1.00302865,0.16793429,7.30544078
1.0930820700000001,0.16050299,6.38360853
1.18423787,0.15313382,5.7268493
1.27576213,0.1466239,5.2168453
1.36691793,0.14090169,4.69253878
1.4569713499999999,0.13505006,4.08576886
1.54519733,0.1305186,3.79365675
1.63088553,0.12567769,3.43276118
1.71334604,0.12084107,3.01449294
1.79191492,0.11647267,2.63907191
1.8659596,0.11206235,2.28421056
1.9348839,0.10781689,1.95386326
1.9981328999999999,0.10377028,1.6394058
2.05519733,0.10017459,1.34098217
2.1056177700000003,0.09723858,1.06611346
2.14898825,0.09374204,0.80518653
2.18495957,0.08609362,0.53807664
2.21324212,0.06576902,0.302712
2.23360818,0.03975546,0.13499143
2.25,0.01849858,0.03381591
