Modele,Strat_Entree,Residuelle,Intermediaire,Suffixe,RMSE_Fn,RMSE_Ft,Rel_Fn (%),Rel_Ft (%),Wasserstein_Dist,Total_Score_Test (%),Total_Score_CV_150 (%),Total_Score_CV2_1000 (%),CV2_Variance (%)
GV_1_f_D32_LightGBM_Latent,GV,1,f,D32,4.2689,3.3813,1.85,13.22,0.7241,15.07,,,
GV_1_f_D64_LightGBM_Latent,GV,1,f,D64,4.2466,3.2978,1.84,12.89,1.0726,14.73,,,
GV_1_f_D128_LightGBM_Latent,GV,1,f,D128,4.012,3.3382,1.74,13.05,0.708,14.79,,,
GV_1_v_D32_LightGBM_Latent,GV,1,v,D32,6.1483,3.7916,2.66,14.83,0.739,17.49,,,
BASELINE_BEM,BEM,-,-,-,22.3797,6.1036,9.69,23.87,16.5892,33.55,-1.0,-1.0,-1.0
GV_0_f_D0,GV,0,f,D0,4.7297,4.5542,2.05,17.81,1.5038,19.85,14.79,16.63,1.16
GV_0_f_D32,GV,0,f,D32,5.5713,4.0965,2.41,16.02,1.5532,18.43,14.33,16.22,1.29
GV_0_f_D64,GV,0,f,D64,4.8915,4.2535,2.12,16.63,0.9513,18.75,13.65,15.27,1.76
GV_0_f_D128,GV,0,f,D128,5.0444,4.16,2.18,16.27,1.2109,18.45,12.93,13.69,1.18
GV_0_f_D256,GV,0,f,D256,6.284,4.1213,2.72,16.11,1.6115,18.83,13.78,14.84,2.27
GV_0_v_D0,GV,0,v,D0,4.7558,3.9443,2.06,15.42,1.0444,17.48,15.92,16.18,1.39
GV_0_v_D32,GV,0,v,D32,4.3371,3.4761,1.88,13.59,1.2153,15.47,11.04,11.84,2.84
GV_0_v_D64,GV,0,v,D64,4.1416,3.5437,1.79,13.86,0.8317,15.65,10.95,11.0,2.88
GV_0_v_D128,GV,0,v,D128,4.2277,3.513,1.83,13.74,0.6481,15.57,11.59,12.78,3.4
GV_0_v_D256,GV,0,v,D256,4.2494,3.4791,1.84,13.6,0.6739,15.44,13.24,12.74,2.81
GV_1_f_D0,GV,1,f,D0,4.0659,3.6196,1.76,14.15,0.5524,15.91,15.43,15.48,2.39
GV_1_f_D32,GV,1,f,D32,3.9572,3.6151,1.71,14.14,0.6616,15.85,13.92,14.28,2.14
GV_1_f_D64,GV,1,f,D64,3.7973,3.5781,1.64,13.99,0.6954,15.63,13.83,14.29,2.27
GV_1_f_D128,GV,1,f,D128,3.9169,3.6136,1.7,14.13,0.6711,15.82,14.34,14.3,1.86
GV_1_f_D256,GV,1,f,D256,3.9126,3.6564,1.69,14.3,0.6558,15.99,14.02,14.38,2.22
GV_1_v_D0,GV,1,v,D0,4.1147,3.2609,1.78,12.75,0.546,14.53,12.67,13.04,2.55
GV_1_v_D32,GV,1,v,D32,4.2185,3.1805,1.83,12.44,0.4894,14.26,12.82,13.24,2.08
GV_1_v_D64,GV,1,v,D64,4.1981,3.2243,1.82,12.61,0.5936,14.42,12.99,12.1,3.55
GV_1_v_D128,GV,1,v,D128,3.9942,3.2256,1.73,12.61,0.4974,14.34,12.26,13.49,1.64
GV_1_v_D256,GV,1,v,D256,4.1824,3.2326,1.81,12.64,0.518,14.45,12.7,13.57,1.32
GM_1_f_D0,GM,1,f,D0,3.5651,2.9024,1.54,11.35,0.9268,12.89,13.56,12.98,1.13
GM_1_f_D128,GM,1,f,D128,3.8139,3.2015,1.65,12.52,0.6861,14.17,14.02,14.28,2.35
GM_1_f_D256,GM,1,f,D256,4.07,3.4437,1.76,13.46,0.8177,15.23,14.57,14.45,1.67
GM_1_f_D512,GM,1,f,D512,4.1213,3.4041,1.78,13.31,0.8747,15.09,14.86,14.88,1.86
GM_1_v_D0,GM,1,v,D0,5.3236,3.504,2.3,13.7,1.2617,16.01,17.49,14.71,1.43
GM_1_v_D128,GM,1,v,D128,4.8939,3.0139,2.12,11.78,0.8915,13.9,12.41,12.79,1.93
GM_1_v_D256,GM,1,v,D256,4.9216,3.047,2.13,11.91,0.7505,14.04,12.37,13.64,1.78
GM_1_v_D512,GM,1,v,D512,4.5084,3.0222,1.95,11.82,0.5938,13.77,13.22,12.69,2.63
