Modele,g_err_cp_abs,i_err_cp_%,h_err_ct_abs,j_err_ct_%
GM_0_f_D0_A,0.429096,129.79,0.310319,29.85
GM_1_f_D0_A,0.069696,21.36,0.089547,8.76
GM_2_f_D0_A,0.465634,142.76,0.288009,27.98
GV_1_f_D0_A,0.051084,13.94,0.057561,5.21
BASELINE_BEM,0.100939,27.84,0.105264,9.64
GM_1_v_D0_A,0.024144,6.64,0.030946,3.3
GM_1_f_D0_B,0.029766,8.94,0.025577,2.86
GM_1_v_D0_B,0.014375,4.08,0.017661,1.86
GM_0_f_DV32_A,0.68212,208.96,0.390187,34.8
GM_1_f_DM32_A,0.036811,11.41,0.026205,3.16
GM_2_f_DM16_A,0.39966,124.32,0.289132,26.19
GM_1_v_DM16_A,0.018967,5.37,0.025556,2.46
GM_2_v_DM16_A,0.570477,180.26,0.369082,31.7
GM_2+_f_DV16_A,1.118793,346.53,0.68822,60.14
GM_2+_v_DV32_A,0.184305,55.78,0.070261,6.59
