Modele,a_err_abs_Nm,c_err_rel_%,e_err_normD_%
GM_0_f_D0_A,74.0382,31.93,21.7
GM_1_f_D0_A,27.39,12.42,8.83
GM_2_f_D0_A,72.0344,30.03,21.11
GV_1_f_D0_A,26.2208,111.74,37.12
BASELINE_BEM,22.3797,17.44,9.94
GM_1_v_D0_A,30.5205,14.73,11.89
GM_1_f_D0_B,12.4849,6.52,5.0
GM_1_v_D0_B,17.9023,11.76,8.28
GM_0_f_DV32_A,73.6574,37.29,22.01
GM_1_f_DM32_A,13.5015,6.62,5.18
GM_2_f_DM16_A,62.9163,29.84,18.94
GM_1_v_DM16_A,30.8628,16.48,12.96
GM_2_v_DM16_A,62.306,36.73,19.93
GM_2+_f_DV16_A,308.3215,120.05,90.05
GM_2+_v_DV32_A,72.9359,40.76,29.2
