Modele,b_err_abs_Nm,d_err_rel_%,f_err_normD_%
GM_0_f_D0_A,19.391,380.61,6.62
GM_1_f_D0_A,6.2531,158.81,4.54
GM_2_f_D0_A,20.4594,409.33,6.87
GV_1_f_D0_A,7.8211,137.62,10.33
BASELINE_BEM,6.1036,76.61,4.22
GM_1_v_D0_A,5.9578,58.88,3.51
GM_1_f_D0_B,4.6734,64.03,3.11
GM_1_v_D0_B,5.4442,54.76,3.5
GM_0_f_DV32_A,21.9791,598.35,7.43
GM_1_f_DM32_A,4.81,70.72,3.18
GM_2_f_DM16_A,17.2417,379.32,6.54
GM_1_v_DM16_A,6.3496,66.08,3.86
GM_2_v_DM16_A,16.3979,538.43,6.51
GM_2+_f_DV16_A,83.0091,2024.25,28.21
GM_2+_v_DV32_A,20.3566,389.68,8.27
