Modele,Best_BEM_Ratio,Entree,Residuelle,Inter,Has_AE,AE_Nature,AE_Dim,Option_Loss,L1,L2,L3,Best_Metric,CV_Score,CV_Var
GM_0_f_D0_A,0.5,GM,0.0,f,False,,0.0,A,1.0,0.0,0.0,B,406.9,51.09
GM_1_f_D0_A,1.24,GM,1.0,f,False,,0.0,A,1.0,0.0,0.0,C,214.62,42.19
GM_2_f_D0_A,0.51,GM,2.0,f,False,,0.0,A,1.0,0.0,0.0,B,460.66,144.84
GV_1_f_D0_A,1.96,GV,1.0,f,False,,0.0,A,1.0,0.0,0.0,C,80.63,6.05
BASELINE_BEM,1.0,,,,,,,,,,,,,
GM_1_v_D0_A,3.77,GM,1.0,v,False,,0.0,A,0.35,0.37,0.27,C,67.94,11.23
GM_1_f_D0_B,3.18,GM,1.0,f,False,,0.0,B,1.0,0.0,0.0,C,7.23,0.3
GM_1_v_D0_B,6.31,GM,1.0,v,False,,0.0,B,0.43,0.53,0.04,C,11.37,0.31
GM_0_f_DV32_A,0.48,GM,0.0,f,True,V,32.0,A,1.0,0.0,0.0,B,645.14,115.5
GM_1_f_DM32_A,2.57,GM,1.0,f,True,M,32.0,A,1.0,0.0,0.0,C,71.05,15.49
GM_2_f_DM16_A,0.56,GM,2.0,f,True,M,16.0,A,1.0,0.0,0.0,B,424.01,57.8
GM_1_v_DM16_A,4.78,GM,1.0,v,True,M,16.0,A,0.05,0.59,0.36,C,75.5,13.46
GM_2_v_DM16_A,0.54,GM,2.0,v,True,M,16.0,A,0.43,0.22,0.35,B,630.95,134.64
GM_2+_f_DV16_A,0.12,GM,2+,f,True,V,16.0,A,1.0,0.0,0.0,B,2618.11,307.33
GM_2+_v_DV32_A,0.6,GM,2+,v,True,V,32.0,A,0.44,0.34,0.22,C,425.56,70.65
