Modele,Score_A,Score_B,Score_C,WD_Fn
GM_0_f_D0_A,412.54,28.31,159.64,32.6555
GM_1_f_D0_A,171.23,13.37,30.12,12.2954
GM_2_f_D0_A,439.36,27.98,170.74,31.9721
GV_1_f_D0_A,249.36,47.45,19.16,10.1299
BASELINE_BEM,94.05,14.16,37.48,
GM_1_v_D0_A,73.61,15.4,9.94,7.1158
GM_1_f_D0_B,70.55,8.11,11.79,3.1546
GM_1_v_D0_B,66.52,11.78,5.94,3.3227
GM_0_f_DV32_A,635.64,29.44,243.76,36.2709
GM_1_f_DM32_A,77.34,8.36,14.57,3.9539
GM_2_f_DM16_A,409.16,25.48,150.51,26.7707
GM_1_v_DM16_A,82.55,16.82,7.84,4.226
GM_2_v_DM16_A,575.16,26.44,211.96,28.7572
GM_2+_f_DV16_A,2144.3,118.27,406.68,145.089
GM_2+_v_DV32_A,430.44,37.47,62.37,9.8411
